syn_error_rate,connection_time,destination_same_source_port_rate,destination_different_server_rate,connection_status,connection_count,destination_server_different_host_rate,suspicious_activity,protocol,server_different_host_rate,destination_server_syn_error_rate,destination_host_server_count,destination_same_server_rate,fragment_errors,compromised_count,source_bytes,service_type,destination_syn_error_rate,same_server_rate,reset_error_rate,server_request_count,destination_server_reset_error_rate,server_reset_error_rate,server_syn_error_rate,destination_bytes,guest_login,authentication_status,destination_host_count,destination_reset_error_rate,different_server_rate,class
0.0,0,0.01,0.0,SF,2,0.0,2,tcp,0.0,0.0,87,1.0,0,1,54540,http,0.0,1.0,0.0,2,0.01,0.0,0.0,8314,0,1,87,0.01,0.0,anomaly
1.0,0,0.0,0.07,S0,242,0.0,0,tcp,0.0,1.0,6,0.02,0,0,0,link,1.0,0.02,0.0,6,0.0,0.0,1.0,0,0,0,255,0.0,0.07,anomaly
1.0,0,0.0,0.08,S0,234,0.0,0,tcp,0.0,1.0,12,0.05,0,0,0,bgp,1.0,0.07,0.0,16,0.0,0.0,1.0,0,0,0,255,0.0,0.06,anomaly
1.0,0,0.0,0.08,S0,140,0.0,0,tcp,0.0,1.0,1,0.0,0,0,0,ctf,1.0,0.01,0.0,1,0.0,0.0,1.0,0,0,0,255,0.0,0.06,anomaly
1.0,0,0.0,0.07,S0,126,0.0,0,tcp,0.0,1.0,11,0.04,0,0,0,iso_tsap,1.0,0.09,0.0,11,0.0,0.0,1.0,0,0,0,255,0.0,0.06,anomaly
0.0,0,0.57,0.04,SF,511,0.0,0,icmp,0.0,0.0,145,0.57,0,0,1032,ecr_i,0.0,1.0,0.0,511,0.0,0.0,0.0,0,0,0,255,0.0,0.0,anomaly
0.95,0,0.02,0.05,S0,22,0.0,0,tcp,0.22,1.0,28,0.11,0,0,0,http,1.0,0.36,0.05,9,0.0,0.11,0.89,0,0,0,255,0.0,0.23,anomaly
1.0,0,0.0,0.06,S0,208,0.0,0,tcp,0.0,1.0,8,0.03,0,0,0,private,1.0,0.04,0.0,8,0.0,0.0,1.0,0,0,0,255,0.0,0.06,anomaly
0.0,0,1.0,0.0,SF,1,0.5,0,icmp,1.0,0.0,22,1.0,0,0,8,eco_i,0.0,1.0,0.0,5,0.0,0.0,0.0,0,0,0,2,0.0,0.0,anomaly
0.0,0,0.0,0.06,REJ,147,0.0,0,tcp,0.0,0.0,18,0.07,0,0,0,ldap,0.0,0.12,1.0,18,1.0,1.0,0.0,0,0,0,255,1.0,0.05,anomaly
1.0,0,0.0,0.08,S0,13,0.0,0,tcp,0.0,1.0,3,0.01,0,0,0,imap4,1.0,0.23,0.0,3,0.0,0.0,1.0,0,0,0,255,0.0,0.23,anomaly
0.44,0,0.0,1.0,REJ,511,0.0,0,tcp,0.0,0.0,1,0.0,0,0,0,other,0.35,0.0,0.56,1,1.0,1.0,0.0,0,0,0,255,0.65,1.0,anomaly
0.0,1,0.01,0.08,SF,6,0.0,0,tcp,0.0,0.0,1,0.01,0,0,6,ftp,0.0,0.17,0.33,1,0.0,0.0,0.0,54,0,0,111,0.02,1.0,anomaly
0.0,0,1.0,0.0,SF,1,0.26,0,icmp,1.0,0.0,77,1.0,0,0,8,eco_i,0.0,1.0,0.0,2,0.0,0.0,0.0,0,0,0,1,0.0,0.0,anomaly
1.0,0,0.0,0.07,S0,40,0.0,0,tcp,0.0,1.0,20,0.08,0,0,0,private,1.0,0.5,0.0,20,0.0,0.0,1.0,0,0,0,255,0.0,0.05,anomaly
0.0,0,0.0,0.08,RSTO,249,0.0,0,tcp,0.0,0.0,16,0.06,0,0,0,ftp,0.0,0.06,1.0,16,1.0,1.0,0.0,0,0,0,255,1.0,0.06,anomaly
1.0,0,0.0,0.05,S0,60,0.0,0,tcp,0.0,1.0,21,0.08,0,0,0,private,1.0,0.02,0.0,1,0.0,0.0,1.0,0,0,0,255,0.0,0.1,anomaly
1.0,0,0.0,0.05,S0,146,0.0,0,tcp,0.0,1.0,25,0.1,0,0,0,printer,1.0,0.17,0.0,25,0.0,0.0,1.0,0,0,0,255,0.0,0.05,anomaly
0.0,0,0.96,0.01,SF,511,0.0,0,icmp,0.0,0.0,244,0.96,0,0,1032,ecr_i,0.0,1.0,0.0,511,0.0,0.0,0.0,0,0,0,255,0.01,0.0,anomaly
1.0,0,0.0,0.08,S0,211,0.0,0,tcp,0.0,1.0,9,0.04,0,0,0,private,1.0,0.01,0.0,3,0.0,0.0,1.0,0,0,0,255,0.0,0.07,anomaly
0.0,0,0.0,0.08,REJ,118,0.0,0,tcp,0.0,0.0,5,0.02,0,0,0,http_443,0.0,0.04,1.0,5,1.0,1.0,0.0,0,0,0,255,1.0,0.07,anomaly
